away_team,away goals
England,1221
Sweden,886
Hungary,869
Germany,860
Serbia,740
Scotland,647
Argentina,635
Netherlands,627
Brazil,621
Poland,608
Austria,596
Russia,596
Czechia,594
Denmark,587
Uruguay,585
Belgium,569
Norway,557
South Korea,528
France,527
Spain,521
Romania,506
Trinidad and Tobago,492
Zambia,491
Switzerland,487
Italy,476
Mexico,457
Bulgaria,453
Ghana,419
Paraguay,411
Finland,410
Australia,389
Thailand,378
Turkey,377
China,376
Wales,371
Costa Rica,361
Portugal,350
Egypt,334
Chile,329
Ireland,328
Japan,325
Suriname,325
Greece,320
Guinea,313
Jamaica,312
Tunisia,312
United States of America,311
Nigeria,309
Cameroon,308
DR Congo,307
Ivory Coast,305
Iraq,299
Iran,298
Honduras,297
Uganda,297
Kenya,296
Malaysia,296
Syria,291
New Zealand,288
Indonesia,287
Peru,282
Senegal,282
Haiti,279
Iceland,278
Colombia,278
Panama,275
Mali,269
India,263
East Germany,263
Algeria,262
Israel,254
Curaâ€¡ao,253
Ecuador,253
Vietnam,249
Singapore,249
Saudi Arabia,249
Kuwait,249
Zimbabwe,246
Northern Ireland,245
Croatia,243
Latvia,240
Morocco,239
Malawi,238
South Africa,237
Cuba,233
Tanzania,233
Guatemala,231
United Arab Emirates,227
Qatar,224
Slovakia,223
Estonia,222
St Vincent & Grenadines,212
Hong Kong,211
North Korea,203
El Salvador,201
Sudan,200
Canada,199
Congo,197
Myanmar,196
Togo,192
Jordan,190
Bahrain,190
Martinique,189
Guyana,188
Venezuela,186
Oman,180
Uzbekistan,180
Burkina Faso,179
Lithuania,177
Ukraine,173
Ethiopia,169
Bosnia and Herzegovina,166
Bolivia,165
Madagascar,163
Angola,163
Gabon,162
Taiwan,160
Guadeloupe,158
Mauritius,155
Belarus,155
Mozambique,149
Barbados,147
Grenada,147
Slovenia,145
Georgia,143
Palestine,141
Libya,140
North Macedonia,134
Saint Lucia,131
New Caledonia,130
Albania,129
Philippines,128
Antigua and Barbuda,126
Nicaragua,121
Tahiti,121
Lesotho,121
Benin,116
Cambodia,116
Saint Kitts and Nevis,112
Lebanon,110
Vanuatu,110
Luxembourg,109
Dominica,108
Liberia,106
Bermuda,106
Cyprus,105
Yemen,105
Moldova,105
Armenia,104
Namibia,104
Solomon Islands,102
Azerbaijan,100
Sierra Leone,100
Eswatini,100
Tajikistan,97
Pakistan,95
Sri Lanka,95
Burundi,92
Kazakhstan,91
French Guiana,89
Gambia,89
Aruba,87
Papua New Guinea,87
Turkmenistan,87
Laos,86
Mauritania,86
Niger,81
Malta,78
Zanzibar,76
Botswana,75
Fiji,75
Faroe Islands,75
Bangladesh,74
Rwanda,72
Puerto Rico,70
Cape Verde,70
Maldives,70
Montenegro,70
Central African Republic,67
Guinea-Bissau,65
Reunion,64
Bonaire,64
Nepal,62
Dominican Republic,61
Guam,57
Kyrgyzstan,56
Seychelles,54
Equatorial Guinea,52
Saint Martin,52
Chad,50
East Timor,48
Afghanistan,47
Djibouti,47
Brunei,46
Liechtenstein,46
British Virgin Islands,43
Macao,42
Somalia,40
Sint Maarten,38
Cayman Islands,37
Belize,37
Montserrat,36
Kosovo,34
Andorra,33
Anguilla,30
Mongolia,29
Bhutan,29
SÃ†o Tomâ€š and PrÂ¡ncipe,28
Comoros,26
Tonga,26
Eritrea,25
American Samoa,24
Northern Mariana Islands,24
US Virgin Islands,22
Bahamas,20
Turks and Caicos Islands,20
Mayotte,20
Cook Islands,18
South Sudan,16
North Vietnam,13
San Marino,13
North Yemen,12
Tuvalu,12
Samoa,12
Greenland,11
Gibraltar,11
Wallis and Futuna,7
Sint Eustatius,7
Saar,6
Tibet,5
Western Samoa,5
Kiribati,4
Monaco,3
Saint Barthelemy,3
Northern Cyprus,2
Saint Pierre and Miquelon,2
FS Micronesia,1
Kurdistan,1
Chagos Islands,1
Niue,0
Falkland Islands,0
